Source,Target,Type,Id,Label,timeset,Weight
0,1,Directed,1,,,1
0,2,Directed,2,,,1
0,3,Directed,3,,,1
0,4,Directed,4,,,1
0,5,Directed,5,,,1
0,6,Directed,6,,,1
0,7,Directed,7,,,1
0,8,Directed,8,,,1
0,9,Directed,9,,,1
0,10,Directed,10,,,1
0,11,Directed,11,,,1
0,12,Directed,12,,,1
0,13,Directed,13,,,1
0,14,Directed,14,,,1
0,15,Directed,15,,,1
16,1,Directed,16,,,1
16,6,Directed,17,,,1
16,11,Directed,18,,,1
16,17,Directed,19,,,1
16,18,Directed,20,,,1
16,19,Directed,21,,,1
16,20,Directed,22,,,1
16,21,Directed,23,,,1
16,22,Directed,24,,,1
16,23,Directed,25,,,1
16,24,Directed,26,,,1
16,25,Directed,27,,,1
16,26,Directed,28,,,1
16,27,Directed,29,,,1
16,28,Directed,30,,,1
16,29,Directed,31,,,1
16,30,Directed,32,,,1
16,31,Directed,33,,,1
16,32,Directed,34,,,1
16,33,Directed,35,,,1
16,34,Directed,36,,,1
16,35,Directed,37,,,1
16,36,Directed,38,,,1
16,37,Directed,39,,,1
16,38,Directed,40,,,1
16,39,Directed,41,,,1
16,40,Directed,42,,,1
41,18,Directed,43,,,1
41,42,Directed,44,,,1
41,12,Directed,45,,,1
41,43,Directed,46,,,1
41,1,Directed,47,,,1
41,6,Directed,48,,,1
41,128,Directed,49,,,1
41,127,Directed,50,,,1
41,126,Directed,51,,,1
41,125,Directed,52,,,1
41,124,Directed,53,,,1
41,123,Directed,54,,,1
41,122,Directed,55,,,1
41,121,Directed,56,,,1
41,120,Directed,57,,,1
41,119,Directed,58,,,1
41,118,Directed,59,,,1
41,44,Directed,60,,,1
41,45,Directed,61,,,1
41,46,Directed,62,,,1
41,47,Directed,63,,,1
41,48,Directed,64,,,1
41,49,Directed,65,,,1
41,11,Undirected,1965,,,1
41,51,Directed,67,,,1
41,52,Directed,68,,,1
41,53,Directed,69,,,1
41,54,Directed,70,,,1
41,55,Directed,71,,,1
41,56,Directed,72,,,1
41,57,Directed,73,,,1
41,58,Directed,74,,,1
41,59,Directed,75,,,1
41,60,Directed,76,,,1
41,61,Directed,77,,,1
41,62,Directed,78,,,1
1471,24,Undirected,1890,,,1
41,64,Directed,80,,,1
41,65,Directed,81,,,1
41,66,Directed,82,,,1
41,67,Directed,83,,,1
41,68,Directed,84,,,1
41,69,Directed,85,,,1
41,70,Directed,86,,,1
41,71,Directed,87,,,1
41,72,Directed,88,,,1
41,73,Directed,89,,,1
41,74,Directed,90,,,1
41,75,Directed,91,,,1
41,76,Directed,92,,,1
41,77,Directed,93,,,1
41,78,Directed,94,,,1
41,79,Directed,95,,,1
41,80,Directed,96,,,1
41,81,Directed,97,,,1
41,82,Directed,98,,,1
41,83,Directed,99,,,1
41,84,Directed,100,,,1
41,85,Directed,101,,,1
41,86,Directed,102,,,1
41,87,Directed,103,,,1
41,88,Directed,104,,,1
41,89,Directed,105,,,1
41,90,Directed,106,,,1
41,91,Directed,107,,,1
41,30,Undirected,327,,,1
41,93,Directed,109,,,1
41,94,Directed,110,,,1
130,68,Undirected,664,,,1
1375,54,Undirected,1730,,,1
41,97,Directed,113,,,1
41,98,Directed,114,,,1
1050,48,Undirected,1281,,,1
41,100,Directed,116,,,1
41,101,Directed,117,,,1
41,102,Directed,118,,,1
41,103,Directed,119,,,1
41,104,Directed,120,,,1
41,105,Directed,121,,,1
41,106,Directed,122,,,1
41,107,Directed,123,,,1
41,108,Directed,124,,,1
41,109,Directed,125,,,1
41,110,Directed,126,,,1
41,111,Directed,127,,,1
41,112,Directed,128,,,1
41,113,Directed,129,,,1
41,114,Directed,130,,,1
41,115,Directed,131,,,1
41,116,Directed,132,,,1
41,117,Directed,133,,,1
129,1,Undirected,134,,,1
129,3,Undirected,135,,,1
130,6,Undirected,136,,,1
131,6,Undirected,137,,,1
132,6,Undirected,138,,,1
129,6,Undirected,139,,,1
133,6,Undirected,140,,,1
134,6,Undirected,141,,,1
135,6,Undirected,142,,,1
136,6,Undirected,143,,,1
137,7,Undirected,144,,,1
138,7,Undirected,145,,,1
139,7,Undirected,146,,,1
140,7,Undirected,147,,,1
141,7,Undirected,148,,,1
142,7,Undirected,149,,,1
143,7,Undirected,150,,,1
144,7,Undirected,151,,,1
145,7,Undirected,152,,,1
146,7,Undirected,153,,,1
147,7,Undirected,154,,,1
148,7,Undirected,155,,,1
149,7,Undirected,156,,,1
150,7,Undirected,157,,,1
151,7,Undirected,158,,,1
152,7,Undirected,159,,,1
153,7,Undirected,160,,,1
154,7,Undirected,161,,,1
155,7,Undirected,162,,,1
156,7,Undirected,163,,,1
157,7,Undirected,164,,,1
158,7,Undirected,165,,,1
151,26,Undirected,295,,,1
160,7,Undirected,167,,,1
161,7,Undirected,168,,,1
162,7,Undirected,169,,,1
163,7,Undirected,170,,,1
164,7,Undirected,171,,,1
165,7,Undirected,172,,,1
166,7,Undirected,173,,,1
167,7,Undirected,174,,,1
168,7,Undirected,175,,,1
129,10,Undirected,176,,,1
169,12,Undirected,177,,,1
170,12,Undirected,178,,,1
171,12,Undirected,179,,,1
172,12,Undirected,180,,,1
167,12,Undirected,181,,,1
173,13,Undirected,182,,,1
129,13,Undirected,183,,,1
174,13,Undirected,184,,,1
175,13,Undirected,185,,,1
129,14,Undirected,186,,,1
176,1,Undirected,187,,,1
177,1,Undirected,188,,,1
178,1,Undirected,189,,,1
179,1,Undirected,190,,,1
180,1,Undirected,191,,,1
181,1,Undirected,192,,,1
182,1,Undirected,193,,,1
183,1,Undirected,194,,,1
184,1,Undirected,195,,,1
185,1,Undirected,196,,,1
186,1,Undirected,197,,,1
1339,1,Undirected,2002,,,1
187,1,Undirected,199,,,1
459,36,Directed,502,,,1
189,1,Undirected,201,,,1
134,1,Undirected,202,,,1
191,1,Undirected,203,,,1
136,1,Undirected,204,,,1
193,1,Undirected,205,,,1
194,1,Undirected,206,,,1
195,1,Undirected,207,,,1
196,1,Undirected,208,,,1
197,1,Undirected,209,,,1
198,1,Undirected,210,,,1
199,1,Undirected,211,,,1
200,1,Undirected,212,,,1
201,1,Undirected,213,,,1
202,1,Undirected,214,,,1
203,1,Undirected,215,,,1
204,1,Undirected,216,,,1
205,1,Undirected,217,,,1
206,1,Undirected,218,,,1
132,1,Undirected,219,,,1
207,1,Undirected,220,,,1
208,1,Undirected,221,,,1
174,1,Undirected,222,,,1
210,1,Undirected,223,,,1
211,1,Undirected,224,,,1
212,1,Undirected,225,,,1
213,1,Undirected,226,,,1
214,1,Undirected,227,,,1
215,1,Undirected,228,,,1
216,1,Undirected,229,,,1
217,1,Undirected,230,,,1
218,1,Undirected,231,,,1
219,1,Undirected,232,,,1
220,1,Undirected,233,,,1
221,1,Undirected,234,,,1
222,1,Undirected,235,,,1
223,1,Undirected,236,,,1
224,1,Undirected,237,,,1
225,1,Undirected,238,,,1
226,1,Undirected,239,,,1
129,15,Undirected,240,,,1
227,22,Undirected,241,,,1
228,22,Undirected,242,,,1
229,22,Undirected,243,,,1
230,22,Undirected,244,,,1
231,22,Undirected,245,,,1
232,22,Undirected,246,,,1
233,22,Undirected,247,,,1
234,22,Undirected,248,,,1
235,22,Undirected,249,,,1
236,22,Undirected,250,,,1
237,22,Undirected,251,,,1
238,22,Undirected,252,,,1
239,22,Undirected,253,,,1
240,22,Undirected,254,,,1
241,22,Undirected,255,,,1
242,22,Undirected,256,,,1
243,22,Undirected,257,,,1
244,22,Undirected,258,,,1
245,22,Undirected,259,,,1
246,22,Undirected,260,,,1
247,22,Undirected,261,,,1
248,22,Undirected,262,,,1
249,22,Undirected,263,,,1
250,22,Undirected,264,,,1
251,22,Undirected,265,,,1
252,22,Undirected,266,,,1
253,22,Undirected,267,,,1
254,22,Undirected,268,,,1
255,22,Undirected,269,,,1
256,22,Undirected,270,,,1
257,22,Undirected,271,,,1
258,22,Undirected,272,,,1
259,22,Undirected,273,,,1
260,22,Undirected,274,,,1
261,22,Undirected,275,,,1
262,22,Undirected,276,,,1
264,22,Undirected,277,,,1
266,22,Undirected,278,,,1
267,23,Undirected,279,,,1
268,23,Undirected,280,,,1
269,23,Undirected,281,,,1
270,23,Undirected,282,,,1
271,23,Undirected,283,,,1
272,23,Undirected,284,,,1
160,23,Undirected,285,,,1
275,23,Undirected,286,,,1
276,23,Undirected,287,,,1
277,23,Undirected,288,,,1
278,23,Undirected,289,,,1
279,23,Undirected,290,,,1
280,23,Undirected,291,,,1
281,26,Undirected,292,,,1
282,26,Undirected,293,,,1
285,26,Undirected,296,,,1
287,26,Undirected,297,,,1
288,26,Undirected,298,,,1
289,26,Undirected,299,,,1
291,26,Undirected,300,,,1
292,26,Undirected,301,,,1
294,26,Undirected,302,,,1
295,26,Undirected,303,,,1
296,26,Undirected,304,,,1
166,26,Undirected,305,,,1
298,26,Undirected,306,,,1
299,26,Undirected,307,,,1
146,26,Undirected,308,,,1
300,26,Undirected,309,,,1
301,26,Undirected,310,,,1
302,6,Undirected,311,,,1
303,31,Undirected,312,,,1
304,31,Undirected,313,,,1
305,31,Undirected,314,,,1
306,31,Undirected,315,,,1
307,29,Undirected,317,,,1
308,29,Undirected,318,,,1
309,20,Undirected,319,,,1
310,20,Undirected,320,,,1
311,20,Undirected,321,,,1
312,20,Undirected,322,,,1
313,20,Undirected,323,,,1
287,20,Undirected,324,,,1
314,20,Undirected,325,,,1
315,28,Undirected,326,,,1
130,30,Undirected,328,,,1
287,27,Undirected,329,,,1
282,27,Undirected,330,,,1
158,27,Undirected,331,,,1
317,27,Undirected,332,,,1
318,27,Undirected,333,,,1
319,27,Undirected,334,,,1
151,27,Undirected,335,,,1
289,27,Undirected,336,,,1
320,27,Undirected,337,,,1
281,27,Undirected,338,,,1
321,27,Undirected,339,,,1
322,19,Undirected,340,,,1
323,19,Undirected,341,,,1
324,19,Undirected,342,,,1
139,19,Undirected,343,,,1
326,19,Undirected,344,,,1
327,19,Undirected,345,,,1
328,19,Undirected,346,,,1
329,19,Undirected,347,,,1
330,19,Undirected,348,,,1
331,19,Undirected,349,,,1
332,19,Undirected,350,,,1
333,19,Undirected,351,,,1
334,19,Undirected,352,,,1
335,19,Undirected,353,,,1
336,19,Undirected,354,,,1
337,19,Undirected,355,,,1
338,19,Undirected,356,,,1
339,19,Undirected,357,,,1
340,19,Undirected,358,,,1
341,19,Undirected,359,,,1
342,19,Undirected,360,,,1
343,19,Undirected,361,,,1
344,19,Undirected,362,,,1
345,19,Undirected,363,,,1
346,19,Undirected,364,,,1
347,19,Undirected,365,,,1
348,19,Undirected,366,,,1
301,19,Undirected,367,,,1
350,19,Undirected,368,,,1
351,19,Undirected,369,,,1
353,19,Undirected,370,,,1
354,19,Undirected,371,,,1
296,19,Undirected,372,,,1
355,19,Undirected,373,,,1
356,19,Undirected,374,,,1
357,19,Undirected,375,,,1
358,19,Undirected,376,,,1
359,19,Undirected,377,,,1
360,19,Undirected,378,,,1
361,19,Undirected,379,,,1
362,19,Undirected,380,,,1
363,19,Undirected,381,,,1
364,19,Undirected,382,,,1
365,19,Undirected,383,,,1
300,19,Undirected,384,,,1
366,19,Undirected,385,,,1
173,20,Undirected,386,,,1
274,23,Undirected,387,,,1
367,20,Undirected,388,,,1
368,20,Undirected,389,,,1
379,17,Undirected,401,,,1
370,20,Undirected,391,,,1
378,17,Undirected,400,,,1
377,17,Undirected,399,,,1
380,17,Undirected,402,,,1
198,17,Undirected,403,,,1
381,17,Undirected,404,,,1
383,17,Undirected,405,,,1
384,17,Undirected,406,,,1
385,17,Undirected,407,,,1
386,17,Undirected,408,,,1
199,17,Undirected,409,,,1
387,17,Undirected,410,,,1
215,17,Undirected,411,,,1
388,17,Undirected,412,,,1
382,17,Undirected,413,,,1
178,24,Undirected,414,,,1
389,24,Undirected,415,,,1
390,24,Undirected,416,,,1
295,24,Undirected,417,,,1
318,24,Undirected,418,,,1
391,24,Undirected,419,,,1
289,24,Undirected,420,,,1
319,24,Undirected,421,,,1
321,24,Undirected,422,,,1
392,24,Undirected,423,,,1
393,24,Undirected,424,,,1
394,24,Undirected,425,,,1
395,33,Undirected,427,,,1
396,33,Undirected,428,,,1
199,33,Undirected,429,,,1
397,33,Undirected,430,,,1
400,11,Undirected,433,,,1
401,11,Undirected,434,,,1
402,11,Undirected,435,,,1
403,11,Undirected,436,,,1
167,11,Undirected,437,,,1
404,11,Undirected,438,,,1
405,11,Undirected,439,,,1
406,11,Undirected,440,,,1
407,11,Undirected,441,,,1
408,11,Undirected,442,,,1
166,11,Undirected,443,,,1
409,11,Undirected,444,,,1
331,11,Undirected,445,,,1
410,11,Undirected,446,,,1
389,11,Undirected,447,,,1
151,11,Undirected,448,,,1
412,11,Undirected,449,,,1
160,25,Undirected,521,,,1
296,11,Undirected,451,,,1
329,11,Undirected,452,,,1
414,11,Undirected,453,,,1
415,11,Undirected,454,,,1
416,11,Undirected,455,,,1
417,11,Undirected,456,,,1
418,11,Undirected,457,,,1
419,11,Undirected,458,,,1
345,11,Undirected,459,,,1
420,18,Undirected,460,,,1
421,18,Undirected,461,,,1
422,18,Undirected,462,,,1
423,18,Undirected,463,,,1
424,18,Undirected,464,,,1
425,18,Undirected,465,,,1
426,18,Undirected,466,,,1
173,18,Undirected,467,,,1
427,18,Undirected,468,,,1
428,18,Undirected,469,,,1
429,18,Undirected,470,,,1
430,18,Undirected,471,,,1
431,18,Undirected,472,,,1
202,18,Undirected,473,,,1
432,18,Undirected,474,,,1
433,18,Undirected,475,,,1
434,18,Undirected,476,,,1
435,18,Undirected,477,,,1
436,18,Undirected,478,,,1
437,18,Undirected,479,,,1
438,18,Undirected,480,,,1
439,18,Undirected,481,,,1
440,18,Undirected,482,,,1
441,18,Directed,484,,,1
442,18,Directed,485,,,1
443,18,Directed,486,,,1
444,18,Directed,487,,,1
445,18,Directed,488,,,1
446,18,Directed,489,,,1
447,18,Directed,490,,,1
448,18,Directed,491,,,1
449,18,Directed,492,,,1
200,18,Directed,493,,,1
303,18,Directed,494,,,1
455,28,Directed,497,,,1
456,28,Directed,498,,,1
303,28,Directed,499,,,1
457,28,Directed,500,,,1
175,1,Directed,501,,,1
460,36,Directed,503,,,1
461,36,Directed,504,,,1
462,36,Directed,505,,,1
377,36,Directed,506,,,1
464,36,Directed,507,,,1
465,36,Directed,508,,,1
466,36,Directed,509,,,1
467,36,Directed,510,,,1
131,1,Undirected,513,,,1
470,1,Undirected,514,,,1
130,1,Undirected,515,,,1
471,40,Undirected,516,,,1
472,40,Undirected,517,,,1
473,40,Undirected,518,,,1
474,40,Undirected,519,,,1
146,11,Undirected,520,,,1
361,25,Undirected,522,,,1
320,25,Undirected,523,,,1
281,25,Undirected,524,,,1
282,25,Undirected,525,,,1
289,25,Undirected,526,,,1
166,25,Undirected,527,,,1
288,25,Undirected,528,,,1
476,25,Undirected,529,,,1
287,25,Undirected,530,,,1
291,25,Undirected,531,,,1
292,25,Undirected,532,,,1
477,25,Undirected,533,,,1
299,25,Undirected,534,,,1
295,25,Undirected,535,,,1
298,25,Undirected,536,,,1
294,25,Undirected,537,,,1
296,25,Undirected,538,,,1
478,25,Undirected,539,,,1
301,25,Undirected,540,,,1
146,25,Undirected,541,,,1
300,25,Undirected,542,,,1
479,75,Undirected,543,,,1
480,75,Undirected,544,,,1
233,75,Undirected,545,,,1
482,75,Undirected,546,,,1
483,75,Undirected,547,,,1
484,75,Undirected,548,,,1
485,75,Undirected,549,,,1
486,75,Undirected,550,,,1
487,75,Undirected,551,,,1
488,75,Undirected,552,,,1
474,75,Undirected,553,,,1
490,75,Undirected,554,,,1
491,75,Undirected,555,,,1
492,75,Undirected,556,,,1
493,75,Undirected,557,,,1
494,75,Undirected,558,,,1
495,75,Undirected,559,,,1
496,75,Undirected,560,,,1
497,75,Undirected,561,,,1
498,75,Undirected,562,,,1
499,75,Undirected,563,,,1
502,94,Undirected,565,,,1
503,94,Undirected,566,,,1
504,94,Undirected,567,,,1
506,113,Undirected,570,,,1
132,113,Undirected,571,,,1
201,113,Undirected,572,,,1
131,113,Undirected,573,,,1
130,113,Undirected,574,,,1
203,113,Undirected,575,,,1
508,113,Undirected,576,,,1
509,113,Undirected,577,,,1
510,113,Undirected,578,,,1
512,113,Undirected,579,,,1
513,113,Undirected,580,,,1
514,113,Undirected,581,,,1
515,113,Undirected,582,,,1
521,59,Undirected,589,,,1
519,31,Undirected,587,,,1
520,59,Undirected,588,,,1
522,59,Undirected,590,,,1
523,59,Undirected,591,,,1
524,59,Undirected,592,,,1
526,59,Undirected,593,,,1
527,59,Undirected,594,,,1
528,59,Undirected,595,,,1
529,59,Undirected,596,,,1
530,59,Undirected,597,,,1
531,59,Undirected,598,,,1
532,59,Undirected,599,,,1
534,59,Undirected,600,,,1
535,59,Undirected,601,,,1
536,59,Undirected,602,,,1
537,59,Undirected,603,,,1
538,59,Undirected,604,,,1
539,59,Undirected,605,,,1
540,59,Undirected,606,,,1
541,59,Undirected,607,,,1
542,59,Undirected,608,,,1
543,59,Undirected,609,,,1
544,59,Undirected,610,,,1
545,59,Undirected,611,,,1
546,59,Undirected,612,,,1
547,59,Undirected,613,,,1
548,59,Undirected,614,,,1
549,59,Undirected,615,,,1
550,59,Undirected,616,,,1
551,59,Undirected,617,,,1
552,59,Undirected,618,,,1
553,59,Undirected,619,,,1
554,59,Undirected,620,,,1
555,59,Undirected,621,,,1
556,59,Undirected,622,,,1
558,59,Undirected,623,,,1
559,59,Undirected,624,,,1
560,59,Undirected,625,,,1
561,59,Undirected,626,,,1
562,59,Undirected,627,,,1
520,45,Undirected,1098,,,1
533,59,Undirected,629,,,1
525,59,Undirected,630,,,1
557,59,Undirected,631,,,1
219,117,Undirected,763,,,1
41,563,Undirected,633,,,1
565,563,Undirected,634,,,1
386,563,Undirected,635,,,1
567,563,Undirected,636,,,1
568,563,Undirected,637,,,1
569,563,Undirected,638,,,1
570,563,Undirected,639,,,1
571,563,Undirected,640,,,1
223,563,Undirected,641,,,1
572,563,Undirected,642,,,1
573,563,Undirected,643,,,1
574,563,Undirected,644,,,1
575,563,Undirected,645,,,1
509,103,Undirected,646,,,1
576,103,Undirected,647,,,1
577,103,Undirected,648,,,1
578,103,Undirected,649,,,1
579,103,Undirected,650,,,1
580,103,Undirected,651,,,1
581,103,Undirected,652,,,1
582,103,Undirected,653,,,1
583,103,Undirected,654,,,1
584,103,Undirected,655,,,1
585,103,Undirected,656,,,1
586,103,Undirected,657,,,1
587,103,Undirected,658,,,1
588,103,Undirected,659,,,1
589,103,Undirected,660,,,1
590,103,Undirected,661,,,1
591,103,Undirected,662,,,1
592,103,Undirected,663,,,1
470,68,Undirected,665,,,1
173,68,Undirected,666,,,1
136,68,Undirected,667,,,1
199,68,Undirected,668,,,1
302,68,Undirected,669,,,1
215,68,Undirected,670,,,1
196,68,Undirected,671,,,1
174,68,Undirected,672,,,1
178,68,Undirected,673,,,1
593,90,Undirected,674,,,1
594,90,Undirected,675,,,1
595,90,Undirected,676,,,1
509,90,Undirected,677,,,1
596,90,Undirected,678,,,1
597,90,Undirected,679,,,1
226,90,Undirected,680,,,1
598,90,Undirected,681,,,1
599,90,Undirected,682,,,1
600,114,Undirected,683,,,1
601,114,Undirected,684,,,1
602,114,Undirected,685,,,1
474,114,Undirected,686,,,1
603,114,Undirected,687,,,1
604,114,Undirected,688,,,1
605,114,Undirected,689,,,1
606,114,Undirected,690,,,1
607,114,Undirected,691,,,1
226,114,Undirected,692,,,1
608,114,Undirected,693,,,1
155,42,Undirected,694,,,1
609,42,Undirected,695,,,1
610,42,Undirected,696,,,1
611,42,Undirected,697,,,1
612,42,Undirected,698,,,1
613,42,Undirected,699,,,1
614,42,Undirected,700,,,1
615,42,Undirected,701,,,1
143,42,Undirected,702,,,1
138,42,Undirected,703,,,1
617,42,Undirected,704,,,1
618,42,Undirected,705,,,1
619,42,Undirected,706,,,1
141,42,Undirected,707,,,1
621,42,Undirected,708,,,1
622,42,Undirected,709,,,1
160,42,Undirected,710,,,1
332,42,Undirected,711,,,1
623,42,Undirected,712,,,1
326,42,Undirected,713,,,1
624,42,Undirected,714,,,1
625,42,Undirected,715,,,1
626,42,Undirected,716,,,1
627,42,Undirected,717,,,1
131,42,Undirected,718,,,1
628,42,Undirected,719,,,1
629,42,Undirected,720,,,1
630,42,Undirected,721,,,1
631,42,Undirected,722,,,1
632,42,Undirected,723,,,1
634,42,Undirected,724,,,1
635,42,Undirected,725,,,1
636,42,Undirected,726,,,1
150,42,Undirected,727,,,1
415,42,Undirected,728,,,1
144,42,Undirected,729,,,1
637,42,Undirected,730,,,1
342,42,Undirected,731,,,1
145,42,Undirected,732,,,1
415,42,Undirected,733,,,1
638,42,Undirected,734,,,1
639,42,Undirected,735,,,1
321,42,Undirected,736,,,1
318,42,Undirected,737,,,1
640,42,Undirected,738,,,1
641,42,Undirected,739,,,1
642,42,Undirected,740,,,1
643,42,Undirected,741,,,1
495,42,Undirected,742,,,1
644,42,Undirected,743,,,1
644,56,Undirected,744,,,1
548,56,Undirected,745,,,1
647,56,Undirected,746,,,1
648,56,Undirected,747,,,1
529,56,Undirected,748,,,1
649,56,Undirected,749,,,1
650,56,Undirected,750,,,1
651,56,Undirected,751,,,1
652,56,Undirected,752,,,1
653,56,Undirected,753,,,1
654,56,Undirected,754,,,1
655,56,Undirected,755,,,1
656,117,Undirected,756,,,1
594,117,Undirected,757,,,1
657,117,Undirected,758,,,1
658,117,Undirected,759,,,1
315,117,Undirected,760,,,1
659,117,Undirected,761,,,1
219,563,Undirected,762,,,1
660,117,Undirected,764,,,1
661,117,Undirected,765,,,1
662,117,Undirected,766,,,1
663,117,Undirected,767,,,1
664,117,Undirected,768,,,1
665,56,Undirected,771,,,1
645,56,Undirected,770,,,1
666,56,Undirected,772,,,1
667,56,Undirected,773,,,1
668,56,Undirected,774,,,1
669,56,Undirected,775,,,1
670,56,Undirected,776,,,1
671,56,Undirected,777,,,1
672,56,Undirected,778,,,1
522,45,Undirected,779,,,1
447,45,Undirected,780,,,1
506,110,Undirected,781,,,1
673,110,Undirected,782,,,1
674,110,Undirected,783,,,1
603,110,Undirected,784,,,1
675,110,Undirected,785,,,1
676,110,Undirected,786,,,1
509,110,Undirected,787,,,1
677,110,Undirected,788,,,1
186,110,Undirected,789,,,1
135,110,Undirected,790,,,1
678,110,Undirected,791,,,1
679,73,Undirected,792,,,1
508,73,Undirected,793,,,1
506,73,Undirected,794,,,1
681,73,Undirected,795,,,1
682,73,Undirected,796,,,1
683,73,Undirected,797,,,1
684,73,Undirected,798,,,1
685,73,Undirected,799,,,1
515,73,Undirected,800,,,1
686,73,Undirected,801,,,1
174,73,Undirected,802,,,1
687,73,Undirected,803,,,1
688,73,Undirected,804,,,1
689,73,Undirected,805,,,1
690,73,Undirected,806,,,1
691,73,Undirected,807,,,1
692,73,Undirected,808,,,1
510,73,Undirected,809,,,1
693,73,Undirected,810,,,1
336,73,Undirected,811,,,1
694,68,Undirected,812,,,1
695,68,Undirected,813,,,1
696,68,Undirected,814,,,1
697,68,Undirected,815,,,1
698,68,Undirected,816,,,1
699,68,Undirected,817,,,1
700,68,Undirected,818,,,1
701,68,Undirected,819,,,1
702,68,Undirected,820,,,1
703,68,Undirected,821,,,1
704,68,Undirected,822,,,1
705,68,Undirected,823,,,1
706,68,Undirected,824,,,1
707,68,Undirected,825,,,1
708,68,Undirected,826,,,1
709,68,Undirected,827,,,1
710,68,Undirected,828,,,1
711,68,Undirected,829,,,1
712,68,Undirected,830,,,1
713,68,Undirected,831,,,1
715,125,Undirected,833,,,1
716,125,Undirected,834,,,1
717,125,Undirected,835,,,1
718,125,Undirected,836,,,1
154,125,Undirected,837,,,1
719,125,Undirected,838,,,1
720,125,Undirected,839,,,1
721,125,Undirected,840,,,1
722,125,Undirected,841,,,1
723,125,Undirected,842,,,1
724,125,Undirected,843,,,1
725,125,Undirected,844,,,1
726,125,Undirected,845,,,1
727,125,Undirected,846,,,1
728,125,Undirected,847,,,1
729,49,Undirected,848,,,1
730,49,Undirected,849,,,1
731,49,Undirected,850,,,1
732,49,Undirected,851,,,1
544,49,Undirected,852,,,1
